título,año,kms,link,precio,zona,descripción
Fiesta Se. Sedan 5 Puertas. Motor 1.6. Excelente Estado.,2016,124.829,https://auto.mercadolibre.com.ar/MLA-1940840816-fiesta-se-sedan-5-puertas-motor-16-excelente-estado,9800 dólares,Francisco Álvarez - Moreno - Bs.As. G.B.A. Oeste,Ford Fiesta SE. Sedán . Motor 1.6. Excelente estado.
Fiat Mobi 1.0 Easy Pack Top,2017,98.000,https://auto.mercadolibre.com.ar/MLA-1941202214-fiat-mobi-easy,10000 dólares,Mar del Tuyú - Bs.As. Costa Atlántica,El vendedor no incluyó una descripción del producto
Toyota Etios 1.5 Xls,2013,108.000,https://auto.mercadolibre.com.ar/MLA-1941205402-toyota-etios-15-xls,10000 dólares,Caballito - Capital Federal - Capital Federal,VENDO TOYOTA ETIOS 1.5 XLS. UNICA MANO. MODELO 2013 IMPECABLE GOMAS NUEVAS . POCOS KILÓMETROS PARA EL AÑO. INTERIOR NUEVO SOY PARTICULAR.  VENDO TRANSFERIDO.  SE PUEDE VER EN CABALLITO
Fiat 500 1.4 Sport 105cv,2014,103.000,https://auto.mercadolibre.com.ar/MLA-1941244228-fiat-500-sport,10400 dólares,Nordelta - Tigre - Bs.As. G.B.A. Norte,"FIAT 500 SPORT 1.4 16v AÑO 2014 (rodado en 2015)103.000kmEXCELENTE ESTADO, MUY CUIDADOASIENTOS DE ATRAS SIN USOÚnico dueñoEquipamiento:CLIMATIZADORDIRECCIÓN ELECTRONICACIERRE CENTRALIZADOLLANTAS DE ALEACIÓNAIRBAGFRENOS ABSESPEJOS ELECTRICOSLEVANTA VIDRIOS ELECTRICOSFAROS ANTINIEBLA4 CUBIERTAS COMO NUEVASCONTROL DE VELOCIDAD CRUCERO •TOMAMOS TU AUTO EN PARTE DE PAGO•CONTAMOS CON AMPLIA FINANCIACIÓN•TODA SU DOCUMENTACION ESTA AL DIA, LISTA PARA TRANSFERIR..•CONTACTARSE PARA COORDINAR UNA VISITA• WHATSAPP 1164020910"
Chevrolet Onix 1.4 Lt 98cv,2017,98.000,https://auto.mercadolibre.com.ar/MLA-1940816176-chevrolet-onix-14-lt-98cv,10500 dólares,San Fernando - San Fernando - Bs.As. G.B.A. Norte,El vendedor no incluyó una descripción del producto
Fiat 500 1.4 Sport 105cv,2014,88.000,https://auto.mercadolibre.com.ar/MLA-1940885198-fiat-500-2014-14-sport-105cv,10500 dólares,Capital Federal - Capital Federal,El vendedor no incluyó una descripción del producto
Fiat Mobi 1.0 Way,2018,61.800,https://auto.mercadolibre.com.ar/MLA-1941178702-fiat,10500 dólares,Ramos Mejía - La Matanza - Bs.As. G.B.A. Oeste,El auto está en excelente estado!!
Peugeot Partner Patagónica 1.6 Hdi Vtc,2010,165.000,https://auto.mercadolibre.com.ar/MLA-1941216166-peugeot-partner-patagonica-2010-16-hdi-vtc,10600 dólares,Florencio Varela - Bs.As. G.B.A. Sur,CAMIONETA EN EXELENTE ESTADOTE INVITO A QUE LA VENGAS A VER- AÑO 2010- MOTOR 1.6 HDI- AIRE ACONDICIONADO- DIRECCION HIDRAULICA- ESPEJOS ELECTRICOS- LEVANTAVIDRIOS ELECTRICOS- DOBLE PORTONACEPTO PERMUTA DE MI ITERES / TAMBIEN FINANCIOSE PUEDE PAGAR EN PESOS A PRECIO DE DOLAR BLUE
Ford Ecosport 1.6 Titanium 110cv 4x2,2013,128.000,https://auto.mercadolibre.com.ar/MLA-1940882448-ford-ecosport-2013-16-titanium-110cv-4x2,10800 dólares,Martínez - San Isidro - Bs.As. G.B.A. Norte,"Ford EcoSport Titanium 4x2 1.6 ManualDueño directo, muy cuidada, cambio de correa y servicio de aceite y filtros recién realizado, Vtv Vigente, documentación al día lista para transferir.Se va transferida.No acepto permutas.Concesionarios, agencias, reventa abstenerse."
Honda CR-V 2.4 Lx At 2wd (mexico),2009,192.000,https://auto.mercadolibre.com.ar/MLA-1940892470-honda-cr-v-24-lx-at-2wd-mexico,10999 dólares,Moreno - Moreno - Bs.As. G.B.A. Oeste,CRV LX 2009Impecable estadoSin golpes sin choquesMuy cuidada y mantenidaTomamos tu usadoNO financiamosFLR Autos
Fiat Mobi 1.0 Way,2018,44.000,https://auto.mercadolibre.com.ar/MLA-1456570875-fiat-mobi,11000 dólares,Belgrano - Capital Federal - Capital Federal,"Excelente estado, siempre en cochera cubierta, service regular en oficina autorizada"
Ford Fiesta Kinetic 1.6 Se 120cv,2015,80.000,https://auto.mercadolibre.com.ar/MLA-1941272750-ford-fiesta-kinetic-2015-16-se-120cv,11000000 pesos,Neuquén - Neuquén,El vendedor no incluyó una descripción del producto
Fiat Palio 1.4 Nuevo Attractive 85cv,2017,50.000,https://auto.mercadolibre.com.ar/MLA-1456489037-fiat-palio-atractive,11500 dólares,Macrocentro - Mar del Plata - Bs.As. Costa Atlántica,"IMPECABLE // CUBIERTAS NUEVAS  //  VTV Listo para transferir, sin deudas ni infracciones. Puse muchas fotos y de buena calidad para no hacerle perder tiempo a nadie. El auto está impecable, sin ruidos ni choques. Se vende sí o sí transferido. Acepto permutas.Estoy a dos cuadras de Av. Colón, dos de Av. Champagnat y cuatro de Av. Luro."
Citroën C3 1.6 Exclusive Vti 115cv,2013,121.000,https://auto.mercadolibre.com.ar/MLA-1456555893-citroen-c3-16-exclusive-vti-115-cv,11500000 pesos,Boedo - Capital Federal - Capital Federal,El vendedor no incluyó una descripción del producto
Renault Duster 1.6 Ph2 4x2 Expression 110cv,2015,90.000,https://auto.mercadolibre.com.ar/MLA-1940841646-renault-duster-expression-2015-16-mt-smart-garage,11800 dólares,Coghlan - Capital Federal - Capital Federal,"* SMART GARAGE VENDE *- RENAULT DUSTER EXPRESSION 4x2- MOTOR 1.6 NAFTA / CAJA MANUAL 5ta- AÑO 2015- KMS 90.000 - 2do dueño / Distri realizada a los 72mil kms / Muy buen estado gral / SE ADJUNTA VIDEO MOSTRANDO TODA LA CAMIO, si no podes verlo pedilo por Whatsapp* COORDINE CITA PARA VERLA- ESTAMOS EN EL BARRIO DE COGHLAN, CABA- LUNES a VIERNES 10 a 18.30hs con cita- SABADOS eventualmente, consulte con anticipacion- ROMINA / MARIANO / BRIAN* SOMOS AGENCIA : SMART GARAGE- TENEMOS UNA COCHERA CON MAS DE 50 VEHICULOS EN STOCK- NOS MANEJAMOS CON CITA coordinar por Whatsapp- EVALUAMOS PERMUTA- NO FINANCIAMOS- COMPRAMOS / VENDEMOS TU AUTO, CAMIONETA, MOTO."
